snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,Classification Comment,Host Redshift,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,Galaxy Host Name,discovery date,first obs date,Class Group,Comment,set date,estimated peak,Days since Peak,link
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,"9,999",,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,